service_id,date,exception_type
246073224607632,20250311,1
246073224607634,20250320,1
246071624607657,20250216,1
246072424607241,20250217,1
246075024607576,20250315,1
246075024607646,20250315,1
246071624607377,20250209,1
246074324607576,20250308,1
246071024607151,20250203,1
246071624607222,20250211,1
246071624607226,20250215,1
246072324607297,20250216,1
246072324607293,20250219,1
246073024607503,20250312,1
246075124607563,20250319,1
246075124607564,20250320,1
246071024607211,20250210,1
246073124607631,20250224,1
246073124607635,20250228,1
246073124607634,20250313,1
246073124607631,20250317,1
246073124607633,20250319,1
246073124607631,20250324,1
246072524607273,20250219,1
246073124607624,20250227,1
246073124607624,20250306,1
246073124607622,20250325,1
246073124607624,20250327,1
246071424607635,20250207,1
246073024607377,20250223,1
246073824607632,20250311,1
246073824607633,20250312,1
246073824607634,20250327,1
246072824607635,20250221,1
246071024607141,20250203,1
246071024607144,20250206,1
246071624607213,20250212,1
246073024607422,20250225,1
246073024607424,20250227,1
246073024607431,20250224,1
246074424607493,20250312,1
246075224607563,20250319,1
246075224607564,20250320,1
246073024607365,20250228,1
246074524607503,20250312,1
246074524607505,20250314,1
246071624607365,20250228,1
246071624607366,20250301,1
246075224607574,20250320,1
246075124607641,20250317,1
246072924607646,20250329,1
246071524607646,20250222,1
246072124607635,20250221,1
246072124607635,20250321,1
246071024607171,20250203,1
246071024607171,20250210,1
246073124607591,20250224,1
246073124607591,20250310,1
246071124607203,20250205,1
246072524607252,20250218,1
246075224607521,20250317,1
246072224607996,20250426,1
246072324607937,20250223,1
246071824607952,20250211,1
246071824607952,20250311,1
246072124607985,20250314,1
246072424607941,20250217,1
246072424607941,20250324,1
246071824607742,20250408,1
246078824607952,20250429,1
246071624607587,20250223,1
246073524607635,20250314,1
246073524607635,20250321,1
246073624607646,20250308,1
246071524607576,20250322,1
246073024607577,20250309,1
246073024607576,20250315,1
246072324607251,20250217,1
246073024607647,20250223,1
246074424607647,20250309,1
246073024607641,20250310,1
246073024607643,20250319,1
246073024607644,20250320,1
246071624607647,20250209,1
246071624607641,20250210,1
246071624607647,20250223,1
246071624607647,20250309,1
246071624607642,20250325,1
246071424607646,20250322,1
246071624607204,20250213,1
246073024607621,20250303,1
246073024607624,20250313,1
246073024607621,20250324,1
246072924607436,20250301,1
246071524607296,20250222,1
246071124607214,20250213,1
246073224607634,20250227,1
246073224607635,20250228,1
246073224607632,20250318,1
246073224607633,20250319,1
246071624607657,20250223,1
246072924607296,20250222,1
246074324607436,20250308,1
246074324607576,20250322,1
246071024607155,20250207,1
246071024607156,20250208,1
246072324607296,20250222,1
246073024607505,20250228,1
246073024607502,20250304,1
246073024607505,20250314,1
246075924607642,20250325,1
246071024607212,20250204,1
246071024607213,20250205,1
246073124607631,20250310,1
246073124607633,20250326,1
246071524607156,20250208,1
246071024607202,20250204,1
246073124607623,20250226,1
246073124607621,20250303,1
246073124607624,20250313,1
246073124607621,20250317,1
246073124607623,20250319,1
246073124607352,20250225,1
246073824607631,20250303,1
246073824607632,20250304,1
246071624607237,20250216,1
246072824607635,20250321,1
246072824607635,20250328,1
246072924607366,20250222,1
246071624607217,20250209,1
246074524607492,20250311,1
246073024607437,20250223,1
246075224607561,20250317,1
246075224607562,20250318,1
246073724607423,20250305,1
246074524607504,20250313,1
246074524607506,20250315,1
246071624607366,20250215,1
246071624607362,20250225,1
246075824607642,20250325,1
246075124607644,20250320,1
246072924607646,20250222,1
246073724607587,20250323,1
246071024607131,20250203,1
246071424607145,20250207,1
246072124607635,20250214,1
246073224607623,20250319,1
246072324607937,20250216,1
246072324607937,20250302,1
246072324607937,20250309,1
246072324607937,20250413,1
246071824607952,20250218,1
246071824607952,20250429,1
246071924607753,20250312,1
246071924607753,20250326,1
246072024607764,20250227,1
246072024607764,20250313,1
246072024607764,20250410,1
246072124607985,20250228,1
246073124607941,20250421,1
246072424607941,20250224,1
246072424607941,20250414,1
246072024607974,20250220,1
246072824607285,20250221,1
246073024607577,20250223,1
246072324607257,20250216,1
246072324607587,20250302,1
246073024607646,20250308,1
246074424607646,20250315,1
246074424607646,20250322,1
246073024607645,20250314,1
246073024607642,20250318,1
246073024607645,20250321,1
246073024607641,20250324,1
246071624607642,20250218,1
246071624607646,20250222,1
246071624607642,20250304,1
246071624607641,20250310,1
246071624607642,20250318,1
246071624607645,20250321,1
246071624607641,20250324,1
246071424607645,20250214,1
246071424607646,20250301,1
246071424607646,20250329,1
246073024607623,20250305,1
246073024607624,20250306,1
246073024607621,20250317,1
246073024607624,20250327,1
246072624607285,20250221,1
246072924607436,20250222,1
