from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246071024607202+1159699+0,246071024607202+1159550+0,1,
33,33,,,246071024607204+1159699+0,246071024607204+1159550+0,1,
33,33,,,246071024607201+1159703+0,246071024607201+1159558+0,1,
33,33,,,246071024607203+1159703+0,246071024607203+1159558+0,1,
33,33,,,246071024607203+1159840+0,246071024607203+1159564+0,1,
33,33,,,246072524607274+1160000+0,246072524607274+1159572+0,1,
33,33,,,246073124607621+1160000+0,246073124607621+1159572+0,1,
33,33,,,246071024607204+1160015+0,246071024607204+1159574+0,1,
33,33,,,246072524607274+1160058+0,246072524607274+1159578+0,1,
33,33,,,246072524607274+1160185+0,246072524607274+1159584+0,1,
33,33,,,246071424607635+1160186+0,246071424607635+1159585+0,1,
33,33,,,246071024607201+1160246+0,246071024607201+1159594+0,1,
33,33,,,246072524607273+1160246+0,246072524607273+1159594+0,1,
33,33,,,246073124607624+1160248+0,246073124607624+1159598+0,1,
33,33,,,246071024607201+1160252+0,246071024607131+1161221+0,1,
33,33,,,246072524607274+1160252+0,246072524607274+1161223+0,1,
33,33,,,246071024607202+1160257+0,246071124607203+1159609+0,1,
33,33,,,246073124607621+1160257+0,246073224607622+1159609+0,1,
33,33,,,246073124607622+1160257+0,246073224607623+1159609+0,1,
33,33,,,246071424607635+1160258+0,246072924607646+1164294+0,1,
33,33,,,246074424607447+1164336+0,246073024607587+1159728+0,1,
33,33,,,246073024607307+1164356+0,246073024607587+1163909+0,1,
33,33,,,246072324607237+1164379+0,246072324607237+1159751+0,1,
33,33,,,246072424607241+1164380+0,246072424607241+1159752+0,1,
33,33,,,246074324607436+1164385+0,246071524607646+1159749+0,1,
33,33,,,246074424607447+1164386+0,246073024607587+1159750+0,1,
33,33,,,246072924607296+1164408+0,246072924607296+1163954+0,1,
33,33,,,246071524607226+1164475+0,246071524607226+1163981+0,1,
33,33,,,246072924607296+1164479+0,246072924607296+1163985+0,1,
33,33,,,246075124607517+1164486+0,246075124607587+1163992+0,1,
33,33,,,246075724607576+1164487+0,246075024607576+1163991+0,1,
33,33,,,246076424607646+1164531+0,246076424607646+1164021+0,1,
33,33,,,246075124607517+1164532+0,246075124607587+1164032+0,1,
33,33,,,246072424607241+1164534+0,246072424607241+1164024+0,1,
33,33,,,246072924607296+1164562+0,246072924607296+1164060+0,1,
33,33,,,246074424607447+1164599+0,246073724607587+1164092+0,1,
33,33,,,246075024607506+1164600+0,246075024607576+1164099+0,1,
