service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
246071524607226,0,0,0,0,0,0,0,20250203,20250503
246072324607237,0,0,0,0,0,0,0,20250203,20250503
246073024607587,0,0,0,0,0,0,0,20250203,20250503
246071524607366,0,0,0,0,0,0,0,20250203,20250503
246071024607152,0,0,0,0,0,0,0,20250203,20250503
246073024607501,0,0,0,0,0,0,0,20250203,20250503
246073024607506,0,0,0,0,0,0,0,20250203,20250503
246073124607634,0,0,0,0,0,0,0,20250203,20250503
246072324607291,0,0,0,0,0,0,0,20250203,20250503
246075124607647,0,0,0,0,0,0,0,20250203,20250503
246075124607646,0,0,0,0,0,0,0,20250203,20250503
246071024607201,0,0,0,0,0,0,0,20250203,20250503
246071024607202,0,0,0,0,0,0,0,20250203,20250503
246071024607203,0,0,0,0,0,0,0,20250203,20250503
246073124607621,0,0,0,0,0,0,0,20250203,20250503
246071424607635,0,0,0,0,0,0,0,20250203,20250503
246072924607366,0,0,0,0,0,0,0,20250203,20250503
246071024607142,0,0,0,0,0,0,0,20250203,20250503
246071624607214,0,0,0,0,0,0,0,20250203,20250503
246072424607284,0,0,0,0,0,0,0,20250203,20250503
246073024607421,0,0,0,0,0,0,0,20250203,20250503
246075924607631,0,0,0,0,0,0,0,20250203,20250503
246075924607632,0,0,0,0,0,0,0,20250203,20250503
246073024607431,0,0,0,0,0,0,0,20250203,20250503
246073024607436,0,0,0,0,0,0,0,20250203,20250503
246074424607494,0,0,0,0,0,0,0,20250203,20250503
246071624607361,0,0,0,0,0,0,0,20250203,20250503
246071624607362,0,0,0,0,0,0,0,20250203,20250503
246071624607364,0,0,0,0,0,0,0,20250203,20250503
246071624607367,0,0,0,0,0,0,0,20250203,20250503
246075824607644,0,0,0,0,0,0,0,20250203,20250503
246075124607645,0,0,0,0,0,0,0,20250203,20250503
246073724607587,0,0,0,0,0,0,0,20250203,20250503
246071524607646,0,0,0,0,0,0,0,20250203,20250503
